fid,DN,fid_2,DN_2,fid_3,id,objectid_1,objectid,village,vlcode,gram_panch,gram_pan_1,block,bkcode,subdistric,sdcode,sub_distri,district,dtcode,district_h,state,stcode,uqcode,country,total_urba,total_hous,total_popu,avg_househ,total_geog,total_male,total_fema,tapwater_t,tapwater_u,covered_we,covered__1,covered__2,uncovered_,uncovere_1,uncovere_2,handpump_s,hand_pump_,hand_pum_1,tubewell_b,tube_wells,tube_wel_1,spring_sta,spring_fun,spring_f_1,river_cana,tank_pond_,others_sta,closed_dra,open_drain,village_pi,forest_are,area_under,barren_unc,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,other_sour,nearest_to,nearest__1,shape_leng,shape_le_1,shape_area,ds_name,src_agency,state_name,village_area_km2,village_id,flood_area_km2,flood_exposure_pct,flood_risk
46,1,1,1,2960,39757,39757,106292,Usegaon,540956,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,434,1667,3.84101382,601,825,842,Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,0,135,0,0,0,0,0,44,422,301,122,161,140,0,0,0,MUL,22,10134.03599,10134.03599,5416893.08,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,2960,0.383162078,6.38603464,Low
47,1,1,1,2992,39790,39790,106325,Ghargaon,539218,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,344,1521,4.42151163,907,747,774,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,4,210,1,4,0,0,0,11,677,496,181,472,1,11,0,12,MUL,14,14294.99836,14294.99836,11060412.34,Administrative Boundary,Survey of India (SOI),"Maharashtra
",11,2992,0.310536473,2.82305885,Low
48,1,1,1,4548,41803,41803,108338,Bhaleshwar,540735,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,144,658,4.56944444,507,337,321,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,0,2,169,6,0,10,0,20,300,134,166,0,134,0,0,0,BRAHMAPURI,11,8669.070674,8669.070674,5119777.257,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4548,0.105037929,2.100758575,Low
49,1,1,1,4592,41845,41845,108380,Khamb Talodhi,540748,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,0,0,0,175,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,173,46,127,0,46,0,0,0,,0,4649.239799,4649.239799,1346694.47,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,4592,0.372639001,37.26390012,High
50,1,1,1,2954,39750,39750,106285,Sindola,540946,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,262,896,3.41984733,424,454,442,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,111,0,0,0,0,0,20,293,184,109,98,86,0,0,0,MUL,21,8507.27003,8507.27003,3411086.577,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,2954,0.007156649,0.17891622,Low
51,1,1,1,3070,40919,40919,107454,Mohad Chak,540888,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,0,0,0,184,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,35,0,0,51,62,0,37,0,37,0,0,0,0,0,,0,6507.39138,6507.39138,1923971.044,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,3070,0.470949865,23.54749327,Moderate
52,1,1,1,4106,40937,40937,107472,Kharpundi,539155,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,359,1342,3.73816156,504,675,667,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,113,7,46,4,0,10,33,3,289,220,69,0,7,212,0,0,GADCHIROLI,4,13705.40003,13705.40003,8262224.164,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,4106,0.428398309,4.759981214,Low
53,1,1,1,2968,39765,39765,106300,Sakhari,540970,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,291,1052,3.61512027,1341,527,525,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,467,0,38,22,0,167,132,35,480,313,167,0,146,163,0,4,MUL,29,19887.42362,19887.42362,19388333.05,Administrative Boundary,Survey of India (SOI),"Maharashtra
",20,2968,0.324781667,1.623908334,Low
54,1,1,1,4324,41167,41167,107702,Rampur Chak,538513,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,168,729,4.33928571,665,358,371,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,96,20,38,6,0,7,0,18,479,151,328,131,10,10,0,0,DESAIGANJ,25,13660.19149,13660.19149,7341346.203,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4324,0.09470923,1.18386538,Low
55,1,1,1,3042,39840,39840,106375,Mudaza Bk,539160,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,472,1826,3.86864407,673,896,930,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,256,27,45,6,0,100,0,0,239,94,145,0,1,93,0,0,GADCHIROLI,9,13935.17165,13935.17165,7958062.646,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,3042,0.171436944,2.142961801,Low
56,1,1,1,3000,39798,39798,106333,Wagholi,539225,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,396,1559,3.93686869,959,801,758,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,170,0,104,0,0,3,2,679,372,307,354,7,0,0,11,MUL,16,13701.17198,13701.17198,8676564.827,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,3000,0.006441658,0.071573983,Low
57,1,1,1,4362,41206,41206,107741,Shioni Bk,538524,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,443,1956,4.41534989,770,1015,941,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,144,0,25,0,0,1,2,598,298,300,222,33,0,0,43,DESAIGANJ,27,13627.35689,13627.35689,9237292.981,Administrative Boundary,Survey of India (SOI),"Maharashtra
",10,4362,0.631683932,6.316839317,Low
58,1,1,1,2961,39758,39758,106293,Kawathi,540954,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,459,1934,4.21350763,617,963,971,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,26,94,9,0,0,18,0,0,469,171,298,166,5,0,0,0,MUL,20,10129.81353,10129.81353,4613317.681,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,2961,0.089250262,1.785005239,Low
59,1,1,1,4040,40864,40864,107399,Antargaon Tola,540887,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,186,755,4.05913978,295,378,377,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,82,7,32,15,0,1,0,0,157,107,50,27,0,80,0,0,GADCHIROLI,17,8619.716162,8619.716162,4629393.583,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4040,0.376746201,7.534924027,Low
60,1,1,1,2931,39730,39730,106265,Vyahad Kh,540919,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,675,2621,3.88296296,220,1336,1285,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,35,0,5,0,5,20,5,150,113,37,51,7,44,0,11,MUL,24,22038.71043,22038.71043,16385829.97,Administrative Boundary,Survey of India (SOI),"Maharashtra
",17,2931,0.102032103,0.600188839,Low
61,1,1,1,4329,41172,41172,107707,Kaneri,538520,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,90,378,4.2,64,183,195,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,24,5,8,6,0,2,0,0,21,34,-14,0,0,34,0,1,DESAIGANJ,23,7735.127688,7735.127688,2664741.481,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4329,0.004013378,0.133779257,Low
62,1,1,1,4212,41047,41047,107582,Mangli,540804,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,275,1037,3.77090909,345,504,533,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,0,14,0,10,0,2,0,0,319,19,300,0,7,0,0,12,BRAHMAPURI,12,7892.65059,7892.65059,4030060.72,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4212,0.323966257,8.099156417,Low
63,1,1,1,4650,41904,41904,108439,Tembhari,537516,,,Lakhandur,94,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,,India,Rural,120,501,4.175,242,246,255,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,87,0,3,0,1,0,0,151,40,111,0,40,0,0,0,Desaiganj,20,6199.309496,6199.309496,2353862.943,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4650,0.012825314,0.64126568,Low
64,1,1,1,2991,39789,39789,106324,Mohurli Mokasa,539219,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,262,1059,4.04198473,610,522,537,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,0,126,0,12,0,2,1,0,469,306,163,301,0,0,0,5,MUL,34,10130.66686,10130.66686,6403157.679,Administrative Boundary,Survey of India (SOI),"Maharashtra
",7,2991,0.349213928,4.988770393,Low
65,1,1,1,4170,41003,41003,107538,Borgaon,540771,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,203,785,3.86699507,268,388,397,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,0,20,0,0,0,0,2,246,14,232,0,4,10,0,0,BRAHMAPURI,3,6501.297162,6501.297162,2040538.415,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4170,0.008020644,0.401032177,Low
66,1,1,1,2735,39536,39536,106071,Jungaon,541470,,,Pombhurna,124,Pombhurna,4073,Pombhurna,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,322,1309,4.06521739,978,650,659,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,123,0,250,0,0,0,0,13,592,31,561,0,31,0,0,0,MUL,41,11006.89571,11006.89571,3827534.279,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,2735,0.036443786,0.911094651,Low
67,1,1,1,2821,39618,39618,106153,Ganpur Raiyyatwari,539301,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,485,1950,4.02061856,1021,978,972,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,145,224,5,10,0,5,33,0,599,58,540,0,0,31,0,27,GADCHIROLI,60,15955.82089,15955.82089,12914968.82,Administrative Boundary,Survey of India (SOI),"Maharashtra
",13,2821,0.049967864,0.384368187,Low
68,1,1,1,3030,39826,39826,106361,Haramba,540972,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,533,2153,4.03939962,684,1070,1083,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,0,0,95,22,0,33,29,4,502,317,185,50,4,200,0,62,MUL,32,12076.73189,12076.73189,4549548.938,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,3030,0.364389053,7.287781067,Low
69,1,1,1,4549,41804,41804,108339,Ahernavargaon,540736,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,1125,4666,4.14755556,1202,2311,2355,Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,25,132,5,0,21,0,62,958,214,744,0,214,0,0,0,BRAHMAPURI,7,16244.38183,16244.38183,13261315.63,Administrative Boundary,Survey of India (SOI),"Maharashtra
",14,4549,1.913531324,13.66808088,Low
70,1,1,1,4572,41825,41825,108360,Sondri,540745,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,354,1455,4.11016949,479,713,742,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,8,18,6,0,8,2,15,422,28,394,0,28,0,0,0,BRAHMAPURI,9,9568.315774,9568.315774,4845460.836,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4572,0.509644765,10.1928953,Low
71,1,1,1,3061,39858,39858,106393,Darshani Chak,539184,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,75,276,3.68,807,145,131,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,171,4,45,12,0,84,145,38,308,86,222,0,0,84,0,2,GADCHIROLI,20,7150.176645,7150.176645,2332188.544,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,3061,0.014865122,0.743256124,Low
72,1,1,1,3041,39839,39839,106374,Kaneri,539117,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,482,1900,3.94190871,652,943,957,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,46,116,0,23,0,121,0,0,346,167,179,0,7,160,0,0,GADCHIROLI,10,11692.97808,11692.97808,6773991.086,Administrative Boundary,Survey of India (SOI),"Maharashtra
",7,3041,0.380492167,5.435602383,Low
73,1,1,1,3113,39913,39913,106448,Reserved Forest,999999,,,,,Sawali,4068,,Chandrapur,473,,MH,27,,India,Rural,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,28854.3424,28854.3424,24493069.91,Administrative Boundary,Survey of India (SOI),"Maharashtra
",25,3113,0.00482388,0.019295521,Low
74,1,1,1,4153,40986,40986,107521,Kotgal,539114,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,821,3338,4.06577345,917,1648,1690,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,98,211,18,87,0,13,20,0,472,212,260,0,18,193,0,0,GADCHIROLI,7,13160.28444,13160.28444,10501060.55,Administrative Boundary,Survey of India (SOI),"Maharashtra
",11,4153,0.506839016,4.607627416,Low
75,1,1,1,4355,41202,41202,107737,Kondhala,538494,,,Desaiganj (Vadasa),103,Desaiganj (Vadasa),4052,Desaiganj (Vadasa),Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,974,3873,3.97638604,1672,1960,1913,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,233,252,8,80,0,17,0,6,1075,464,611,451,12,0,0,0,DESAIGANJ,8,21195.57759,21195.57759,19244176.84,Administrative Boundary,Survey of India (SOI),"Maharashtra
",20,4355,2.208682004,11.04341002,Low
76,1,1,1,2791,39589,39589,106124,Haladi,539294,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,108,430,3.98148148,286,226,204,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,53,158,0,0,0,3,1,0,72,66,6,0,0,65,0,1,GADCHIROLI,52,9187.910184,9187.910184,4226203.259,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,2791,0.015893773,0.397344316,Low
77,1,1,1,3034,39830,39830,106365,Donala Chak,540964,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,0,0,0,443,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,64,17,0,93,92,10,166,124,42,0,82,42,0,0,,0,7709.241553,7709.241553,2555741.193,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,3034,0.345985042,11.53283472,Low
78,1,1,1,3019,39815,39815,106350,Chichbodi,540913,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,342,1330,3.88888889,671,679,651,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,200,61,0,38,0,4,25,22,319,236,82,205,0,20,0,11,MUL,26,14293.8483,14293.8483,8513531.899,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,3019,0.700987231,7.788747008,Low
79,1,1,1,4697,41955,41955,108490,Municipal Council Desaiganj,248081,,,,0,Desaiganj (Vadasa),4052,,Gadchiroli,475,,MH,27,,India,Urban,6511,28781,4.42036554,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20108.95379,20108.95379,23798982.14,Administrative Boundary,Survey of India (SOI),"Maharashtra
",25,4697,0.372225374,1.488901498,Low
80,1,1,1,3027,39823,39823,106358,Donala,540965,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,303,1174,3.87458746,170,582,592,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,15,0,34,5,0,3,2,1,110,71,39,0,0,71,0,1,MUL,57,4216.879302,4216.879302,913322.7374,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,3027,0.224783523,22.47835227,Moderate
81,1,1,1,4282,41124,41124,107659,Sawalgaon,540742,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,295,1230,4.16949153,345,621,609,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,47,0,3,0,3,2,2,288,74,213,0,74,0,0,0,BRAHMAPURI,10,9048.808514,9048.808514,3107151.376,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4282,0.14872122,4.95737401,Low
82,1,1,1,4352,41194,41194,107729,Kitadi,538588,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,291,1083,3.72164948,297,548,535,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,17,65,1,2,0,10,0,3,198,102,96,0,80,22,0,0,GADCHIROLI,25,12068.25598,12068.25598,4759648.72,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4352,0.32711919,6.542383804,Low
83,1,1,1,2999,39797,39797,106332,Chamorshi,276329,,,,0,Chamorshi,4058,,Gadchiroli,475,,MH,27,,India,Rural,3943,15952,4.04565052,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20463.60157,20463.60157,20690032.54,Administrative Boundary,Survey of India (SOI),"Maharashtra
",21,2999,1.083115076,5.157690837,Low
84,1,1,1,4360,41204,41204,107739,Waghala,538517,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,406,1634,4.02463054,315,820,814,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,99,0,3,0,9,2,3,199,172,28,171,1,0,0,0,DESAIGANJ,24,9418.473065,9418.473065,4804506.131,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4360,0.410519452,8.210389049,Low
85,1,1,1,4207,41042,41042,107577,Jugnala,540779,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,562,2426,4.31672598,799,1248,1178,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,157,11,29,13,0,3,0,4,582,51,531,0,21,30,0,0,BRAHMAPURI,10,14545.79102,14545.79102,7585952.044,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4207,0.358687795,4.483597436,Low
86,1,1,1,4248,41084,41084,107619,Kosambi Khadasmara,540838,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,251,1034,4.11952191,801,509,525,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,302,121,0,30,0,0,0,3,345,142,203,0,0,142,0,0,BRAHMAPURI,30,15153.82534,15153.82534,9026246.68,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,4248,0.012881241,0.143124902,Low
87,1,1,1,3098,39895,39895,106430,Walsara,539280,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,255,910,3.56862745,196,443,467,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,53,46,0,3,0,1,0,0,92,88,4,88,0,0,0,0,GADCHIROLI,41,5870.526385,5870.526385,1980695.992,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,3098,0.126353109,6.317655466,Low
88,1,1,1,2932,39731,39731,106266,Mokhala,540915,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,456,1871,4.10307018,499,936,935,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,50,46,0,6,0,20,16,24,336,185,151,135,0,45,0,5,MUL,27,5415.819555,5415.819555,1100098.57,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,2932,0.218425348,21.84253484,Moderate
89,1,1,1,3024,39820,39820,106355,Sonapur,540938,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,522,2035,3.89846743,1008,1005,1030,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,279,117,14,11,0,80,8,0,499,362,136,126,4,178,0,54,MUL,33,12320.46478,12320.46478,9772242.21,Administrative Boundary,Survey of India (SOI),"Maharashtra
",10,3024,1.293553906,12.93553906,Low
90,1,1,1,3097,39894,39894,106429,Bhivapur,539281,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,312,1088,3.48717949,322,541,547,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,180,32,0,2,0,0,0,0,108,108,0,108,0,0,0,0,GADCHIROLI,40,7677.693326,7677.693326,3078079.121,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,3097,0.000771784,0.025726127,Low
